Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,15,Kobe Bufkin,Michigan,2,4,1,2,0,.000,.000,.500,2.0,0.5,1.0,0.0,0.0,-0.512,-32.0,0.0
2023,NBA,2,46,Seth Lundy,Penn State,,,,,,,,,,,,,,,,
2022,NBA,1,16,A.J. Griffin,Duke,79,1465,663,158,75,.465,.392,.898,18.5,8.4,2.0,0.9,2.2,.073,-0.9,0.4
2022,NBA,2,44,Ryan Rollins (↳GSW),Toledo,19,110,55,22,16,.421,.364,.864,5.8,2.9,1.2,0.8,-0.1,-0.042,-5.1,-0.1
2021,NBA,1,20,Jalen Johnson,Duke,104,1529,627,403,112,.524,.318,.658,14.7,6.0,3.9,1.1,3.2,.100,0.4,0.9
2021,NBA,2,48,Sharife Coooper,Auburn,13,39,7,5,5,.214,.167,,3.0,0.5,0.4,0.4,-0.2,-0.297,-16.3,-0.1
2020,NBA,1,6,Onyeka Okongwu,USC,190,3707,1518,1102,169,.649,.269,.756,19.5,8.0,5.8,0.9,14.2,.184,0.4,2.3
2020,NBA,2,50,Skylar Mays,LSU,78,898,388,99,150,.458,.341,.897,11.5,5.0,1.3,1.9,2.1,.113,-0.2,0.4
2019,NBA,1,8,Jaxson Hayes (↳NOP),Texas,252,4161,1835,977,172,.622,.288,.716,16.5,7.3,3.9,0.7,14.1,.162,-0.2,1.9
2019,NBA,1,10,Cam Reddish,Duke,186,4618,1890,548,240,.400,.324,.840,24.8,10.2,2.9,1.3,2.6,.027,-3.1,-1.3
2019,NBA,2,35,Marcos Louzada Silva (↳NOP),,12,185,43,20,8,.326,.355,1.000,15.4,3.6,1.7,0.7,-0.1,-0.034,-8.1,-0.3
2018,NBA,1,3,Luka Dončić (↳DAL),,342,11736,9468,2918,2728,.467,.341,.739,34.3,27.7,8.5,8.0,40.9,.167,7.2,27.3
2018,NBA,1,19,Kevin Huerter,Maryland,360,10634,4414,1260,1124,.444,.385,.768,29.5,12.3,3.5,3.1,15.1,.068,-0.8,3.3
2018,NBA,1,30,Omari Spellman,Villanova,95,1691,642,413,94,.417,.366,.766,17.8,6.8,4.3,1.0,2.4,.068,-1.5,0.2
2018,NBA,2,34,Devonte' Graham (↳CHO),Kansas,315,8075,3625,724,1407,.372,.356,.812,25.6,11.5,2.3,4.5,12.6,.075,-0.4,3.3
2017,NBA,1,19,John Collins,Wake Forest,376,10996,5947,3007,552,.550,.359,.781,29.2,15.8,8.0,1.5,33.2,.145,0.8,7.8
2017,NBA,2,41,Tyler Dorsey,Oregon,107,1680,710,245,135,.392,.351,.669,15.7,6.6,2.3,1.3,1.1,.031,-3.0,-0.5
2017,NBA,2,60,Alpha Kaba,,,,,,,,,,,,,,,,,
2016,NBA,1,21,DeAndre' Bembry,Saint Joseph's,296,5670,1750,950,533,.474,.283,.611,19.2,5.9,3.2,1.8,4.4,.038,-2.3,-0.4
2016,NBA,2,44,Isaïa Cordinier,,,,,,,,,,,,,,,,,
2016,NBA,2,54,Kay Felder (↳CLE),Oakland,58,526,223,59,78,.364,.268,.754,9.1,3.8,1.0,1.3,-0.4,-0.041,-4.7,-0.4
2015,NBA,1,15,Kelly Oubre (↳WAS),Kansas,535,13841,6871,2364,543,.435,.330,.752,25.9,12.8,4.4,1.0,19.9,.069,-1.7,1.1
2015,NBA,2,50,Marcus Eriksson,,,,,,,,,,,,,,,,,
2015,NBA,2,59,Dimitrios Agravanis,,,,,,,,,,,,,,,,,
2014,NBA,1,15,Adreian Payne,Michigan State,107,1403,429,315,66,.406,.254,.680,13.1,4.0,2.9,0.6,-0.6,-0.019,-5.9,-1.4
2014,NBA,2,43,Edy Tavares,,13,101,33,32,4,.625,,.273,7.8,2.5,2.5,0.3,0.2,.118,-0.4,0.0
2013,NBA,1,17,Dennis Schröder,,699,18814,9822,2031,3293,.434,.338,.836,26.9,14.1,2.9,4.7,27.2,.069,-1.3,3.3
2013,NBA,1,18,Shane Larkin (↳DAL),Miami (FL),256,4880,1399,490,737,.422,.336,.777,19.1,5.5,1.9,2.9,4.4,.044,-2.4,-0.6
2013,NBA,2,47,Raul Neto (↳UTA),,435,6765,2470,658,913,.458,.361,.812,15.6,5.7,1.5,2.1,11.6,.082,-1.5,0.8
2013,NBA,2,50,James Ennis (↳MIA),Cal State Long Beach,395,8022,2629,1306,373,.457,.360,.797,20.3,6.7,3.3,0.9,16.2,.097,-1.5,0.9
2012,NBA,1,23,John Jenkins,Vanderbilt,171,2183,855,250,138,.441,.367,.847,12.8,5.0,1.5,0.8,3.0,.065,-1.9,0.1
2012,NBA,2,43,Mike Scott,Virginia,555,9182,3736,1727,499,.453,.362,.757,16.5,6.7,3.1,0.9,16.8,.088,-1.7,0.6
2011,NBA,2,48,Keith Benson,Oakland,3,9,0,3,0,.000,,,3.0,0.0,1.0,0.0,0.0,-0.005,-7.7,0.0
2010,NBA,1,24,Damion James (↳NJN),Texas,39,623,150,131,26,.415,.000,.667,16.0,3.8,3.4,0.7,0.0,-0.001,-3.7,-0.3
2010,NBA,2,53,Pape Sy,,3,21,7,3,2,.333,.000,1.000,7.0,2.3,1.0,0.7,0.0,-0.047,-6.0,0.0
2009,NBA,1,19,Jeff Teague,Wake Forest,826,22164,10061,1989,4585,.444,.360,.844,26.8,12.2,2.4,5.6,52.4,.113,0.6,14.3
2009,NBA,2,49,Sergiy Gladyr,,,,,,,,,,,,,,,,,
2007,NBA,1,3,Al Horford,Florida,1024,32786,13674,8227,3357,.513,.373,.759,32.0,13.4,8.0,3.3,107.4,.157,2.9,40.7
2007,NBA,1,11,Acie Law,Texas A&M,188,2385,725,195,309,.413,.235,.778,12.7,3.9,1.0,1.6,1.6,.032,-3.9,-1.1
2006,NBA,1,5,Shelden Williams,Duke,361,5586,1618,1562,163,.462,.222,.740,15.5,4.5,4.3,0.5,9.9,.085,-3.0,-1.5
2006,NBA,2,33,Solomon Jones,South Florida,281,3092,839,654,99,.467,.111,.717,11.0,3.0,2.3,0.4,5.0,.078,-4.0,-1.6
2005,NBA,1,2,Marvin Williams,UNC,1072,30159,10965,5546,1373,.443,.361,.808,28.1,10.2,5.2,1.3,65.1,.104,-0.4,12.3
2005,NBA,2,31,Salim Stoudamire,Arizona,157,2672,1260,214,164,.407,.366,.882,17.0,8.0,1.4,1.0,2.2,.040,-2.9,-0.6
2005,NBA,2,59,Cenk Akyol,,,,,,,,,,,,,,,,,
2004,NBA,1,6,Josh Childress,Stanford,391,10432,3548,1850,609,.522,.329,.779,26.7,9.1,4.7,1.6,25.7,.118,0.8,7.4
2004,NBA,1,17,Josh Smith,,894,29000,12996,6653,2789,.452,.285,.632,32.4,14.5,7.4,3.1,51.0,.084,1.7,27.2
2004,NBA,2,34,Donta Smith,Southeastern Illinois College,61,560,165,66,48,.421,.308,.650,9.2,2.7,1.1,0.8,0.5,.043,-3.2,-0.2
2004,NBA,2,37,Royal Ivey,Texas,492,6162,1641,557,501,.406,.361,.706,12.5,3.3,1.1,1.0,4.5,.035,-3.8,-2.7
2004,NBA,2,42,Viktor Sanikidze (↳SAS),,,,,,,,,,,,,,,,,
2003,NBA,1,21,Boris Diaw,,1064,28768,9139,4634,3684,.493,.336,.717,27.0,8.6,4.4,3.5,51.6,.086,0.1,15.5
2003,NBA,2,37,Travis Hansen,BYU,41,507,123,70,19,.354,.300,.815,12.4,3.0,1.7,0.5,0.2,.019,-6.2,-0.5
2002,NBA,2,37,David Andersen,,103,1264,501,292,57,.440,.347,.674,12.3,4.9,2.8,0.6,1.5,.059,-2.9,-0.3
2001,NBA,1,3,Pau Gasol (↳VAN),,1226,41001,20894,11305,3925,.507,.368,.753,33.4,17.0,9.2,3.2,144.1,.169,3.6,57.5
2001,NBA,2,34,Terence Morris (↳HOU),Maryland,139,1934,472,377,93,.407,.196,.711,13.9,3.4,2.7,0.7,1.0,.025,-2.8,-0.4
2000,NBA,1,6,DerMarr Johnson,Cincinnati,344,5930,2121,769,304,.411,.336,.789,17.2,6.2,2.2,0.9,6.4,.052,-1.6,0.6
2000,NBA,2,40,Hanno Möttölä,Utah,155,2360,715,442,75,.442,.063,.783,15.2,4.6,2.9,0.5,0.9,.019,-5.9,-2.3
2000,NBA,2,57,Scoonie Penn,Ohio State,,,,,,,,,,,,,,,,
1999,NBA,1,10,Jason Terry,Arizona,1410,42034,18881,3274,5415,.444,.380,.845,29.8,13.4,2.3,3.8,102.0,.116,1.5,37.4
1999,NBA,1,17,Cal Bowdler,Old Dominion,142,1383,424,272,29,.404,.182,.768,9.7,3.0,1.9,0.2,1.8,.061,-3.2,-0.4
1999,NBA,1,20,Dion Glover,Georgia Tech,294,6132,2407,897,455,.411,.317,.756,20.9,8.2,3.1,1.5,5.8,.045,-1.8,0.3
1999,NBA,1,27,Jumaine Jones (↳PHI),Georgia,471,9780,3325,1987,408,.424,.349,.704,20.8,7.1,4.2,0.9,15.1,.074,-1.2,2.1
1998,NBA,1,20,Roshown McLeod,Duke,113,2130,817,308,124,.409,.111,.819,18.8,7.2,2.7,1.1,0.2,.004,-4.4,-1.3
1998,NBA,2,49,Cory Carr (↳CHI),Texas Tech,42,624,171,49,66,.329,.167,.750,14.9,4.1,1.2,1.6,-1.2,-0.089,-8.2,-1.0
1997,NBA,1,22,Ed Gray,California,60,809,373,73,46,.339,.341,.814,13.5,6.2,1.2,0.8,0.1,.009,-4.0,-0.4
1997,NBA,2,50,Alain Digbeu,,,,,,,,,,,,,,,,,
1997,NBA,2,51,Chris Crawford,Marquette,252,3985,1654,547,154,.437,.347,.824,15.8,6.6,2.2,0.6,6.5,.078,-2.6,-0.6
1996,NBA,1,28,Priest Lauderdale,Central State University,74,525,255,143,33,.472,.000,.554,7.1,3.4,1.9,0.4,-0.8,-0.074,-7.9,-0.8
1995,NBA,1,16,Alan Henderson,Indiana,652,13780,5094,3249,397,.469,.192,.639,21.1,7.8,5.0,0.6,28.0,.097,-1.8,0.6
1995,NBA,2,42,Donnie Boyce,Colorado,30,195,79,25,16,.349,.250,.500,6.5,2.6,0.8,0.5,-0.3,-0.064,-4.9,-0.1
1995,NBA,2,45,Troy Brown,Providence,,,,,,,,,,,,,,,,
1995,NBA,2,57,Cuonzo Martin,Purdue,7,32,9,3,3,.250,.600,.000,4.6,1.3,0.4,0.4,-0.1,-0.151,-6.3,0.0
1994,NBA,2,34,Gaylon Nickerson,Northwestern Oklahoma State University,4,42,15,5,1,.333,.000,1.000,10.5,3.8,1.3,0.3,0.1,.076,-1.2,0.0
1993,NBA,1,15,Doug Edwards,Florida State,85,838,203,153,60,.378,.000,.709,9.9,2.4,1.8,0.7,0.2,.013,-4.8,-0.6
1993,NBA,2,40,Rich Manning,Washington,55,512,182,94,10,.415,.400,.643,9.3,3.3,1.7,0.2,-0.3,-0.028,-8.3,-0.8
1992,NBA,1,10,Adam Keefe,Stanford,617,10334,3107,2556,427,.502,.071,.714,16.7,5.0,4.1,0.7,24.9,.116,-1.3,1.7
1992,NBA,2,38,Elmer Bennett,Notre Dame,21,159,48,10,22,.340,.273,.722,7.6,2.3,0.5,1.0,-0.3,-0.095,-6.9,-0.2
1991,NBA,1,9,Stacey Augmon (↳ATL),UNLV,1001,21658,7990,3216,1561,.469,.152,.728,21.6,8.0,3.2,1.6,43.8,.097,-0.2,9.8
1991,NBA,1,15,Anthony Avent (↳MIL),Seton Hall,352,6729,1958,1584,278,.403,.000,.686,19.1,5.6,4.5,0.8,0.3,.002,-5.7,-6.4
1991,NBA,2,30,Rodney Monroe,NC State,38,313,131,33,27,.368,.222,.826,8.2,3.4,0.9,0.7,-0.2,-0.035,-5.3,-0.3
1990,NBA,1,10,Rumeal Robinson (↳ATL),Michigan,336,6098,2546,606,1179,.432,.344,.611,18.1,7.6,1.8,3.5,5.2,.041,-1.5,0.8
1990,NBA,2,36,Trevor Wilson (↳ATL),UCLA,103,1609,591,353,99,.456,.000,.567,15.6,5.7,3.4,1.0,0.8,.023,-3.4,-0.6
1990,NBA,2,41,Steve Bardo (↳ATL),Illinois,33,299,73,60,44,.329,.100,.696,9.1,2.2,1.8,1.3,-0.1,-0.020,-4.0,-0.2
1989,NBA,1,23,Roy Marble,Iowa,29,194,55,32,12,.257,.000,.594,6.7,1.9,1.1,0.4,-0.5,-0.122,-8.8,-0.3
1989,NBA,2,49,Haywoode Workman,Oral Roberts,359,7202,1967,819,1410,.419,.323,.764,20.1,5.5,2.3,3.9,10.7,.071,-0.7,2.4
1988,NBA,2,44,Anthony Taylor,Oregon,21,368,144,34,43,.397,.000,.750,17.5,6.9,1.6,2.0,0.2,.029,-2.1,0.0
1988,NBA,3,54,Jorge Gonzalez,,,,,,,,,,,,,,,,,
1988,NBA,3,68,Darryl Middleton,Baylor,,,,,,,,,,,,,,,,
1987,NBA,1,21,Dallas Comegys (↳NJN),DePaul,142,2241,856,452,95,.457,.000,.682,15.8,6.0,3.2,0.7,1.1,.024,-3.6,-0.9
1987,NBA,2,42,Terrance Bailey,Wagner College,,,,,,,,,,,,,,,,
1987,NBA,2,44,Terry Coner,Alabama,,,,,,,,,,,,,,,,
1987,NBA,3,67,Song Tao,,,,,,,,,,,,,,,,,
1987,NBA,4,90,Theofanis Christodoulou,,,,,,,,,,,,,,,,,
1987,NBA,5,113,Jose Antonio Montero,,,,,,,,,,,,,,,,,
1987,NBA,6,136,Riccardo Morandotti,,,,,,,,,,,,,,,,,
1987,NBA,7,159,Franjo Arapovic,,,,,,,,,,,,,,,,,
1986,NBA,1,19,Billy Thompson (↳LAL),Louisville,300,6697,2566,1615,514,.505,.154,.674,22.3,8.6,5.4,1.7,9.6,.069,-1.3,1.2
1986,NBA,2,32,Cedric Henderson,Georgia,8,16,11,8,0,.500,,1.000,2.0,1.4,1.0,0.0,0.0,-0.015,-8.6,0.0
1986,NBA,2,40,Augusto Binelli,,,,,,,,,,,,,,,,,
1986,NBA,2,42,Ron Kellogg,Kansas,,,,,,,,,,,,,,,,
1986,NBA,3,65,Dave Hoppen,Nebraska,169,2401,837,647,100,.518,.200,.751,14.2,5.0,3.8,0.6,3.6,.072,-4.2,-1.4
1986,NBA,3,70,Jim Les,Bradley,321,4222,1210,396,930,.397,.396,.818,13.2,3.8,1.2,2.9,8.1,.092,-0.7,1.4
1986,NBA,4,88,Efrem Winters,Illinois,,,,,,,,,,,,,,,,
1986,NBA,5,111,Nicky Jones,VCU,,,,,,,,,,,,,,,,
1986,NBA,6,134,Alexander Volkov,,149,2453,1019,384,333,.455,.333,.613,16.5,6.8,2.6,2.2,4.5,.087,0.5,1.5
1986,NBA,7,157,Valeri Tikhonenko,,,,,,,,,,,,,,,,,
1985,NBA,1,5,Jon Koncak,SMU,784,16409,3520,3856,785,.470,.226,.597,20.9,4.5,4.9,1.0,29.2,.085,-1.2,3.3
1985,NBA,2,41,Lorenzo Charles,NC State,36,273,122,39,8,.557,,.667,7.6,3.4,1.1,0.2,0.5,.086,-1.6,0.0
1985,NBA,3,59,Sedric Toney,Dayton,112,1410,409,98,235,.365,.341,.781,12.6,3.7,0.9,2.1,0.0,.000,-5.0,-1.1
1985,NBA,4,77,Arvydas Sabonis (↳LAC),,470,11375,5629,3436,964,.500,.328,.786,24.2,12.0,7.3,2.1,47.3,.200,4.4,18.4
1985,NBA,4,84,John Battle,Rutgers University,612,10910,5338,824,1257,.464,.273,.793,17.8,8.7,1.3,2.1,17.9,.079,-2.0,0.1
1985,NBA,5,100,Larry Hampton,Hampton,,,,,,,,,,,,,,,,
1985,NBA,6,123,Tony Duckett,Lafayette College,,,,,,,,,,,,,,,,
1985,NBA,7,146,Bob Ferry,Harvard University,,,,,,,,,,,,,,,,
1984,NBA,1,11,Kevin Willis,Michigan State,1424,38362,17253,11901,1328,.487,.211,.713,26.9,12.1,8.4,0.9,81.8,.102,-2.1,-1.0
1984,NBA,3,58,Bobby Parks,Memphis,,,,,,,,,,,,,,,,
1984,NBA,4,81,Dicky Beal,Kentucky,,,,,,,,,,,,,,,,
1984,NBA,5,104,Terry Martin,Louisiana-Monroe,,,,,,,,,,,,,,,,
1984,NBA,6,127,Jim Master,Kentucky,,,,,,,,,,,,,,,,
1984,NBA,7,150,Vince Martello,Florida State,,,,,,,,,,,,,,,,
1984,NBA,8,173,Robert Brown,Long Island University,,,,,,,,,,,,,,,,
1984,NBA,9,195,Fred Brown,Georgetown,,,,,,,,,,,,,,,,
1984,NBA,10,217,Doug Mills,Hofstra,,,,,,,,,,,,,,,,
1983,NBA,2,31,Doc Rivers,Marquette,864,23567,9377,2625,4889,.444,.328,.784,27.3,10.9,3.0,5.7,68.2,.139,3.1,30.5
1983,NBA,3,58,John Pinone,Villanova,7,65,20,10,3,.538,,.600,9.3,2.9,1.4,0.4,0.1,.040,-3.8,0.0
1983,NBA,4,81,Harry Kelly,Texas Southern,,,,,,,,,,,,,,,,
1983,NBA,5,104,Charles Jones,Oklahoma,,,,,,,,,,,,,,,,
1983,NBA,6,127,Tom Bethea,Richmond,,,,,,,,,,,,,,,,
1983,NBA,7,150,Lex Drum,UAB,,,,,,,,,,,,,,,,
1983,NBA,8,173,George Thomas,Georgia Tech,,,,,,,,,,,,,,,,
1983,NBA,9,195,Will Cotchery,University of West Alabama,,,,,,,,,,,,,,,,
1983,NBA,10,216,Ronnie Carr,Western Carolina University,,,,,,,,,,,,,,,,
1982,NBA,1,10,Keith Edmonson,Purdue,87,931,522,127,56,.448,.000,.719,10.7,6.0,1.5,0.6,0.4,.022,-3.6,-0.4
1982,NBA,3,56,Joe Kopicki,Detroit Mercy,118,1187,432,314,84,.493,.273,.812,10.1,3.7,2.7,0.7,3.5,.142,-0.4,0.5
1982,NBA,5,102,Mark Hall,Minnesota,,,,,,,,,,,,,,,,
1982,NBA,6,126,Jay Bruchak,Mount St. Mary's University,,,,,,,,,,,,,,,,
1982,NBA,7,148,Horace Wyatt,Clemson,,,,,,,,,,,,,,,,
1982,NBA,8,172,James Ratiff,Howard University,,,,,,,,,,,,,,,,
1982,NBA,9,194,Pierre Bland,Elizabeth City State University,,,,,,,,,,,,,,,,
1982,NBA,10,216,Ronnie McAdoo,Old Dominion,,,,,,,,,,,,,,,,
1981,NBA,1,4,Al Wood,UNC,417,9939,4902,1262,742,.465,.211,.789,23.8,11.8,3.0,1.8,15.4,.074,-1.3,1.8
1981,NBA,2,38,Clyde Bradshaw,DePaul,,,,,,,,,,,,,,,,
1981,NBA,3,52,Rudy Macklin,LSU,160,2752,1030,464,121,.449,.000,.776,17.2,6.4,2.9,0.8,3.2,.056,-3.5,-1.1
1981,NBA,4,75,Kevin Figaro,Louisiana,,,,,,,,,,,,,,,,
1981,NBA,5,98,Steve Krafcisin,Iowa,,,,,,,,,,,,,,,,
1981,NBA,6,121,Darryl Warwick,Hampton,,,,,,,,,,,,,,,,
1981,NBA,7,144,Kevin Vesey,Iona College,,,,,,,,,,,,,,,,
1981,NBA,8,167,Gilbert Salinas,Notre Dame,,,,,,,,,,,,,,,,
1981,NBA,9,189,Howard Thompkins,Wagner College,,,,,,,,,,,,,,,,
1981,NBA,10,209,Mike Frazier,Georgetown,,,,,,,,,,,,,,,,
1980,NBA,1,18,Don Collins,Washington State,303,6134,2983,837,546,.485,.069,.749,20.2,9.8,2.8,1.8,10.5,.082,0.2,3.5
1980,NBA,2,28,Craig Shelton,Georgetown,59,607,240,141,27,.453,.000,.600,10.3,4.1,2.4,0.5,0.0,-0.001,-6.4,-0.7
1980,NBA,5,110,Mike Doyle,South Carolina,,,,,,,,,,,,,,,,
1980,NBA,6,133,Mike Zagardo,George Washington,,,,,,,,,,,,,,,,
1980,NBA,7,156,Charles Hightower,Dillard University,,,,,,,,,,,,,,,,
1980,NBA,9,195,Stanley Lamb,Franciscan University of Steubenville,,,,,,,,,,,,,,,,
1979,NBA,2,35,James Bradley,Memphis,,,,,,,,,,,,,,,,
1979,NBA,2,38,Larry Wilson,Nicholls State,,,,,,,,,,,,,,,,
1979,NBA,3,57,Don Marsh,Franklin & Marshall College,,,,,,,,,,,,,,,,
1979,NBA,5,101,Tiny Pinder,NC State,,,,,,,,,,,,,,,,
1979,NBA,6,121,Dwight Williams,Gardner-Webb University,,,,,,,,,,,,,,,,
1979,NBA,7,141,Tim Waterman,St. Bonaventure,,,,,,,,,,,,,,,,
1979,NBA,8,160,John Goedeke,UMBC,,,,,,,,,,,,,,,,
1979,NBA,9,178,Cedric Oliver,Hamilton College,,,,,,,,,,,,,,,,
1979,NBA,10,196,Chad Nelson,Drake University,,,,,,,,,,,,,,,,
1978,NBA,1,10,Butch Lee,Marquette,96,1834,773,137,307,.450,,.761,19.1,8.1,1.4,3.2,2.4,.062,-1.2,0.3
1978,NBA,1,16,Jack Givens,Kentucky,156,2601,1040,456,142,.401,,.791,16.7,6.7,2.9,0.9,4.3,.079,-1.1,0.6
1978,NBA,2,25,Rick Wilson,Louisville,66,648,194,79,83,.393,,.560,9.8,2.9,1.2,1.3,0.2,.013,-1.9,0.0
