Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,2,60,,,,,,,,,,,,,,,,,,
2022,NBA,1,23,David Roddy (↳MEM),Colorado State,82,1533,563,238,72,.430,.296,.632,18.7,6.9,2.9,0.9,1.2,.039,-4.2,-0.8
2021,NBA,1,28,Jaden Springer,Tennessee,26,186,69,29,15,.452,.273,.714,7.2,2.7,1.1,0.6,0.2,.059,-1.8,0.0
2021,NBA,2,50,Filip Petrušev,Gonzaga,2,3,0,1,0,,,,1.5,0.0,0.5,0.0,0.0,.055,-5.1,0.0
2021,NBA,2,53,Charles Bassey,Western Kentucky,71,815,312,301,65,.657,.231,.635,11.5,4.4,4.2,0.9,2.5,.146,0.8,0.6
2020,NBA,1,21,Tyrese Maxey,Kentucky,208,6060,3340,580,735,.479,.416,.868,29.1,16.1,2.8,3.5,16.8,.133,0.7,4.2
2020,NBA,2,34,Théo Maledon (↳OKC),,171,3732,1368,488,513,.373,.310,.791,21.8,8.0,2.9,3.0,-0.1,-0.001,-4.5,-2.4
2020,NBA,2,36,Tyler Bey (↳DAL),Colorado,18,71,18,19,3,.318,.250,.600,3.9,1.0,1.1,0.2,0.0,-0.033,-9.5,-0.1
2020,NBA,2,49,Isaiah Joe,Arkansas,182,2648,1171,297,158,.412,.395,.826,14.5,6.4,1.6,0.9,5.6,.102,-0.8,0.8
2020,NBA,2,58,Paul Reed,DePaul,145,1389,544,468,67,.576,.167,.649,9.6,3.8,3.2,0.5,5.2,.180,0.2,0.8
2019,NBA,1,24,Ty Jerome (↳BOS ↳PHO),Virginia,159,2748,1108,294,411,.421,.352,.826,17.3,7.0,1.8,2.6,3.9,.069,-1.6,0.3
2019,NBA,2,33,Carsen Edwards (↳BOS),Purdue,72,706,267,79,52,.364,.297,.758,9.8,3.7,1.1,0.7,0.3,.019,-5.1,-0.5
2019,NBA,2,34,Bruno Fernando (↳ATL),Maryland,161,1504,532,468,97,.526,.130,.639,9.3,3.3,2.9,0.6,2.0,.064,-3.6,-0.6
2019,NBA,2,42,Admiral Schofield (↳WAS),Tennessee,109,1291,405,198,71,.421,.323,.811,11.8,3.7,1.8,0.7,1.2,.046,-4.5,-0.8
2019,NBA,2,54,Marial Shayok,Iowa State,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-0.130,-13.0,-0.1
2018,NBA,1,10,Mikal Bridges (↳PHO),Villanova,404,13036,5400,1651,958,.493,.372,.856,32.3,13.4,4.1,2.4,32.9,.121,1.2,10.5
2018,NBA,1,26,Landry Shamet,Wichita State,310,7024,2753,549,526,.406,.387,.840,22.7,8.9,1.8,1.7,11.8,.081,-1.8,0.3
2018,NBA,2,38,Khyri Thomas (↳DET),Creighton,39,409,160,39,36,.388,.316,.750,10.5,4.1,1.0,0.9,0.5,.058,-2.7,-0.1
2018,NBA,2,39,Isaac Bonga (↳LAL),,143,1871,439,320,118,.432,.300,.759,13.1,3.1,2.2,0.8,1.7,.044,-3.6,-0.7
2018,NBA,2,56,Ray Spalding (↳DAL),Louisville,16,167,58,52,5,.529,.000,.286,10.4,3.6,3.3,0.3,0.1,.024,-6.2,-0.2
2018,NBA,2,60,Kostas Antetokounmpo (↳DAL),Dayton,22,87,21,23,3,.375,,.474,4.0,1.0,1.0,0.1,-0.2,-0.098,-9.9,-0.2
2017,NBA,1,1,Markelle Fultz,Washington,196,5172,2317,676,984,.472,.275,.734,26.4,11.8,3.4,5.0,7.5,.070,-1.1,1.2
2017,NBA,2,36,Jonah Bolden,,51,686,217,174,40,.486,.340,.484,13.5,4.3,3.4,0.8,1.4,.098,-1.3,0.1
2017,NBA,2,39,Jawun Evans (↳LAC),Oklahoma State,56,843,237,96,110,.345,.263,.776,15.1,4.2,1.7,2.0,-0.4,-0.022,-5.4,-0.7
2017,NBA,2,46,Sterling Brown (↳MIL),SMU,268,4458,1431,891,268,.419,.363,.796,16.6,5.3,3.3,1.0,6.6,.071,-2.1,-0.1
2017,NBA,2,50,Mathias Lessort,,,,,,,,,,,,,,,,,
2016,NBA,1,1,Ben Simmons,LSU,323,10622,4712,2545,2423,.560,.139,.590,32.9,14.6,7.9,7.5,33.0,.149,3.3,14.2
2016,NBA,1,24,Timothé Luwawu-Cabarrot,,328,5254,1937,656,293,.391,.335,.829,16.0,5.9,2.0,0.9,4.7,.043,-4.0,-2.7
2016,NBA,1,26,Furkan Korkmaz,,302,5218,2176,622,369,.406,.357,.762,17.3,7.2,2.1,1.2,7.2,.066,-2.0,0.1
2015,NBA,1,3,Jahlil Okafor,Duke,247,4827,2566,1169,225,.542,.222,.676,19.5,10.4,4.7,0.9,7.2,.071,-2.0,0.0
2015,NBA,2,35,Willy Hernangómez (↳NYK),,344,5149,2524,1982,364,.533,.306,.713,15.0,7.3,5.8,1.1,16.3,.152,0.1,2.8
2015,NBA,2,37,Richaun Holmes,Bowling Green,422,8296,3745,2258,413,.605,.273,.747,19.7,8.9,5.4,1.0,27.4,.159,0.3,4.7
2015,NBA,2,47,Artūras Gudaitis (↳SAC),,,,,,,,,,,,,,,,,
2015,NBA,2,58,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,
2015,NBA,2,60,Luka Mitrović (↳SAC),,,,,,,,,,,,,,,,,
2014,NBA,1,3,Joel Embiid,Kansas,406,12936,11101,4535,1426,.501,.336,.821,31.9,27.3,11.2,3.5,58.3,.216,6.6,28.1
2014,NBA,1,10,Elfrid Payton (↳ORL),Louisiana,500,13383,5036,2007,2868,.447,.287,.623,26.8,10.1,4.0,5.7,15.8,.057,-0.9,3.7
2014,NBA,2,32,K.J. McDaniels,Clemson,148,2092,782,324,95,.412,.290,.776,14.1,5.3,2.2,0.6,1.3,.030,-2.8,-0.4
2014,NBA,2,39,Jerami Grant,Syracuse,630,17136,7891,2525,920,.455,.358,.738,27.2,12.5,4.0,1.5,32.6,.091,-0.4,6.8
2014,NBA,2,47,Russ Smith,Louisville,27,131,53,15,19,.319,.188,.769,4.9,2.0,0.6,0.7,-0.2,-0.068,-5.1,-0.1
2014,NBA,2,52,Vasilije Micić,,6,81,25,4,19,.421,.455,.667,13.5,4.2,0.7,3.2,0.1,.071,-5.0,-0.1
2014,NBA,2,54,Nemanja Dangubić (↳SAS),,,,,,,,,,,,,,,,,
2013,NBA,1,11,Michael Carter-Williams,Syracuse,395,9942,4040,1718,1708,.402,.256,.705,25.2,10.2,4.3,4.3,6.6,.032,-1.2,1.8
2013,NBA,2,35,Glen Rice (↳WAS),Georgia Tech,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-0.065,-6.6,-0.2
2013,NBA,2,42,Pierre Jackson (↳NOP),Baylor,8,84,35,9,19,.333,.273,.857,10.5,4.4,1.1,2.4,0.0,.021,-4.4,-0.1
2012,NBA,1,15,Maurice Harkless (↳ORL),St. John's,621,14019,4259,2198,572,.474,.320,.624,22.6,6.9,3.5,0.9,23.0,.079,-0.8,4.1
2012,NBA,2,45,Justin Hamilton (↳MIA),LSU,113,1961,687,403,91,.464,.309,.798,17.4,6.1,3.6,0.8,3.7,.091,-0.9,0.5
